Country,Country_code,Year,Electricity,Net_income_per_cap,Children_out_school,GDP,GDP_per_cap,Fem_parliam,Renew_output,Renew_consum,Undernour,Poverty,2_G,3_G,Water,Unemp_male,Unemp_fem,Continent,Gini,Income_class,Internet,Life_exp,Population,Rural_pop,Urban_pop,Region
Aruba,ABW,2000,91.660398,,1.602679968,1873452514,20617.75047,,0,0.175300002,,,,,,,,North_America,,High_income,,,,53.283,,Latin_America_and_Caribbean
Aruba,ABW,2001,100,,0.32258001,1920111732,20670.36701,,0,0.180500001,,,,,,,,North_America,,High_income,17.1,73.853,92892,53.661,46.339,Latin_America_and_Caribbean
Aruba,ABW,2002,100,,1.81633997,1941340782,20436.88713,,0,0.181400001,,,,,,,,North_America,,High_income,18.8,73.937,94992,54.028,45.972,Latin_America_and_Caribbean
Aruba,ABW,2003,100,,3.321559906,2021229050,20833.97636,,0,0.184599996,,,,,,,,North_America,,High_income,20.8,74.038,97016,54.394,45.606,Latin_America_and_Caribbean
Aruba,ABW,2004,100,,2.176520109,2228491620,22568.37499,,0,0.187099993,,,,,,,,North_America,,High_income,23,74.156,98744,54.76,45.24,Latin_America_and_Caribbean
Aruba,ABW,2005,100,,1.640769958,2330726257,23300.73836,,0,0.1866,,,90,,,,,North_America,,High_income,25.4,74.287,100028,55.125,44.875,Latin_America_and_Caribbean
Aruba,ABW,2006,100,,0.969179988,2424581006,24046.22638,,0,0.189899996,,,99,,,,,North_America,,High_income,28,74.429,100830,55.489,44.511,Latin_America_and_Caribbean
Aruba,ABW,2007,100,,0.812430024,2615083799,25834.11178,,0,0.189999998,,,99,,,,,North_America,,High_income,30.9,74.576,101226,55.853,44.147,Latin_America_and_Caribbean
Aruba,ABW,2008,100,,0.469060004,2745251397,27083.63486,,0,0.193499997,,,99,,,,,North_America,,High_income,52,74.725,101362,56.217,43.783,Latin_America_and_Caribbean
Aruba,ABW,2009,100,,3.341730118,2498882682,24631.18205,,0,0.299800009,,,,,,,,North_America,,High_income,58,74.872,101452,56.579,43.421,Latin_America_and_Caribbean
Aruba,ABW,2010,93.35629215,,0.909619987,2390502793,23513.5277,,11.32737715,5.464700222,,,,,,,,North_America,,High_income,62,75.017,101665,56.941,43.059,Latin_America_and_Caribbean
Aruba,ABW,2011,100,,,2549720670,24985.01392,,12.10102096,5.661799908,,,,,,,,North_America,,High_income,69,75.158,102050,57.06,42.94,Latin_America_and_Caribbean
Aruba,ABW,2012,100,,,2534636872,24712.49326,,14.91525424,6.855899811,,,,,,,,North_America,,High_income,74,75.299,102565,57.043,42.957,Latin_America_and_Caribbean
Aruba,ABW,2013,100,,,2727849721,26441.61994,,14.91218619,6.889699936,,,,,,,,North_America,,High_income,78.9,75.441,103165,57.01,42.99,Latin_America_and_Caribbean
Aruba,ABW,2014,100,,0.077909999,2790849162,26893.01151,,15.09927995,6.927499771,,,,0,,,,North_America,,High_income,83.78,75.583,103776,56.959,43.041,Latin_America_and_Caribbean
Aruba,ABW,2015,100,,,2962905028,28396.90842,,14.85616144,6.728000164,,,99,80,,,,North_America,,High_income,88.66122693,75.725,104339,56.892,43.108,Latin_America_and_Caribbean
Aruba,ABW,2016,100,,,2983636872,28452.17061,,,6.994599819,,,,95,,,,North_America,,High_income,93.54245387,75.868,104865,56.808,43.192,Latin_America_and_Caribbean
Aruba,ABW,2017,100,,,3092430168,29350.80502,,,6.699299812,,,,,,,,North_America,,High_income,97.17,76.01,105361,56.707,43.293,Latin_America_and_Caribbean
Aruba,ABW,2018,100,,,3202188607,30253.27936,,,8.024100304,,,,,,,,North_America,,High_income,,76.152,105846,56.589,43.411,Latin_America_and_Caribbean
Angola,AGO,2000,,,,9129634978,556.8386317,15.45454545,63.11418685,73.44110107,,36.4,,,,,,Africa,52,Low_income,,,,49.913,,Sub-Saharan_Africa
Angola,AGO,2001,20,18.45738804,,8936063723,527.3335285,15.45454545,62.08791209,72.33730316,67.5,,,,,,,Africa,,Low_income,0.136013867,47.059,16945753,48.726,51.274,Sub-Saharan_Africa
Angola,AGO,2002,26.38386917,37.23937878,,15285594828,872.4944418,15.45454545,64.7592068,70.42099762,63.2,,,,,,,Africa,,Low_income,0.270376746,47.702,17519418,47.539,52.461,Sub-Saharan_Africa
Angola,AGO,2003,27.4656353,6.421467891,,17812705294,982.9610078,15.45454545,62.20551378,65.14040375,58.7,,,,,,,Africa,,Low_income,0.370682065,48.44,18121477,46.355,53.645,Sub-Saharan_Africa
Angola,AGO,2004,28.53676033,-8.470401836,,23552052408,1255.564513,15,78.40501792,61.91569901,55.1,,,,45,21.3,26.1,Africa,,Lower-middle_income,0.464814618,49.263,18758138,45.173,54.827,Sub-Saharan_Africa
Angola,AGO,2005,29.59622383,7.704993054,,36970918699,1902.42215,15,79.64824121,68.37830353,52.2,,,,,,,Africa,,Lower-middle_income,1.143366827,50.165,19433604,44,56,Sub-Saharan_Africa
Angola,AGO,2006,30.64655495,13.44170657,,52381006892,2599.565948,15,80.61101028,62.12730026,49.3,,40,,,,,Africa,,Lower-middle_income,1.5,51.143,20149905,43.236,56.764,Sub-Saharan_Africa
Angola,AGO,2007,37.5,-9.455948128,,65266452081,3121.996085,15,77.6188996,58.49160004,46.1,,,,,,,Africa,,Lower-middle_income,1.7,52.177,20905360,42.476,57.524,Sub-Saharan_Africa
Angola,AGO,2008,38.49,-24.25423917,17.55308914,88538611205,4080.941034,37.27272727,75.40904716,54.88209915,42.9,34.4,,,,,,Africa,42.7,Lower-middle_income,1.9,53.243,21695636,41.718,58.282,Sub-Saharan_Africa
Angola,AGO,2009,33.80418396,29.65594568,18.74069977,70307163678,3122.781599,38.63636364,65.34318902,52.41389847,33.2,,,,,,,Africa,,Lower-middle_income,2.3,54.311,22514275,40.966,59.034,Sub-Saharan_Africa
Angola,AGO,2010,34.87972641,6.262067639,18.09081078,83799496611,3587.883645,38.63636364,67.95742338,50.76480103,24.4,,,,,,,Africa,,Lower-middle_income,2.8,55.35,23356247,40.217,59.783,Sub-Saharan_Africa
